,0
0,Industrials
1,Health Care
2,Health Care
3,Health Care
4,Information Technology
5,Communication Services
6,Information Technology
7,Information Technology
8,Consumer Discretionary
9,Utilities
10,Financials
11,Financials
12,Health Care
13,Materials
14,Information Technology
15,Industrials
16,Materials
17,Real Estate
18,Health Care
19,Health Care
20,Industrials
21,Health Care
22,Information Technology
23,Utilities
24,Financials
25,Communication Services
26,Communication Services
27,Consumer Staples
28,Consumer Discretionary
29,Utilities
30,Industrials
31,Utilities
32,Financials
33,Financials
34,Real Estate
35,Utilities
36,Financials
37,Health Care
38,Industrials
39,Health Care
40,Information Technology
41,Energy
42,Information Technology
43,Information Technology
44,Health Care
45,Financials
46,Industrials
47,Energy
48,Real Estate
49,Information Technology
50,Information Technology
51,Consumer Discretionary
52,Consumer Staples
53,Industrials
54,Information Technology
55,Financials
56,Financials
57,Utilities
58,Communication Services
59,Information Technology
60,Information Technology
61,Consumer Discretionary
62,Real Estate
63,Materials
64,Energy
65,Materials
66,Financials
67,Financials
68,Health Care
69,Financials
70,Health Care
71,Financials
72,Consumer Discretionary
73,Health Care
74,Financials
75,Consumer Discretionary
76,Industrials
77,Consumer Discretionary
78,Consumer Discretionary
79,Real Estate
80,Health Care
81,Financials
82,Health Care
83,Information Technology
84,Information Technology
85,Consumer Staples
86,Industrials
87,Energy
88,Information Technology
89,Consumer Staples
90,Financials
91,Consumer Discretionary
92,Health Care
93,Consumer Discretionary
94,Consumer Discretionary
95,Industrials
96,Financials
97,Real Estate
98,Communication Services
99,Materials
100,Health Care
101,Health Care
102,Utilities
103,Communication Services
104,Health Care
105,Materials
106,Financials
107,Communication Services
108,Energy
109,Consumer Discretionary
110,Financials
111,Consumer Staples
112,Health Care
113,Energy
114,Financials
115,Industrials
116,Information Technology
117,Financials
118,Financials
119,Information Technology
120,Consumer Staples
121,Financials
122,Utilities
123,Consumer Staples
124,Information Technology
125,Consumer Staples
126,Communication Services
127,Financials
128,Consumer Staples
129,Energy
130,Energy
131,Utilities
132,Consumer Staples
133,Health Care
134,Industrials
135,Information Technology
136,Consumer Staples
137,Consumer Staples
138,Real Estate
139,Industrials
140,Industrials
141,Health Care
142,Consumer Discretionary
143,Health Care
144,Consumer Discretionary
145,Health Care
146,Industrials
147,Industrials
148,Health Care
149,Energy
